Acurácia no conjunto de teste: 99.98%

Previsões para todas as imagens de teste:
Imagem: 9 (2950).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2951).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2952).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2953).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2954).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2955).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2956).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2957).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2958).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2959).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (296).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 99.97%
Imagem: 9 (2960).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2961).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2962).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2963).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2964).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2965).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2966).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2967).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2968).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2969).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (297).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 99.99%
Imagem: 9 (2970).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2971).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2972).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2973).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2974).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2975).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2976).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2977).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2978).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2979).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (298).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2980).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2981).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2982).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2983).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2984).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2985).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2986).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2987).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2988).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2989).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (299).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2990).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2991).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2992).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2993).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2994).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2995).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2996).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2997).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2998).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (2999).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (30).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (300).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 99.99%
Imagem: 9 (3000).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3001).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3002).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3003).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3004).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3005).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3006).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3007).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3008).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3009).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (301).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3010).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3011).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3012).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3013).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3014).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3015).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3016).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3017).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3018).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3019).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (302).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 99.97%
Imagem: 9 (3020).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3021).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3022).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3023).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3024).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3025).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3026).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3027).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3028).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3029).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (303).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 99.99%
Imagem: 9 (3030).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3031).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3032).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3033).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3034).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3035).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3036).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3037).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3038).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3039).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (304).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3040).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3041).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3042).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3043).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3044).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3045).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3046).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3047).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3048).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3049).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (305).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
